7zip	23.01+dfsg-11
accountsservice	23.13.9-2ubuntu6
accountsservice-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3
acl	2.3.2-1build1.1
activity-log-manager	0.9.7-0ubuntu31
adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.9
apg	2.2.3.dfsg.1-5build3
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.5
apport	2.28.1-0ubuntu3.8
apport-core-dump-handler	2.28.1-0ubuntu3.8
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-transport-https	2.8.3
apt-utils	2.8.3
aspell	0.60.8.1-1build1
aspell-en	2020.12.07-0-1
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
avahi-daemon	0.8-13ubuntu6.1
avahi-utils	0.8-13ubuntu6.1
bamfdaemon	0.5.6+22.04.20220217-0ubuntu5
base-files	13ubuntu10.4
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
bcache-tools	1.0.8-5build1
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.2
bind9-host	1:9.18.39-0ubuntu0.24.04.2
bind9-libs	1:9.18.39-0ubuntu0.24.04.2
bind9-utils	1:9.18.39-0ubuntu0.24.04.2
binutils	2.42-4ubuntu2.8
binutils-common	2.42-4ubuntu2.8
binutils-x86-64-linux-gnu	2.42-4ubuntu2.8
bluez	5.72-0ubuntu5.5
bluez-obexd	5.72-0ubuntu5.5
bolt	0.9.7-1
bpfcc-tools	0.29.1+ds-1ubuntu7
bpftrace	0.20.2-1ubuntu4.3
bsdextrautils	2.39.3-9ubuntu6.4
bsdutils	1:2.39.3-9ubuntu6.4
btrfs-progs	6.6.3-1.1build2
bubblewrap	0.9.0-1ubuntu0.1
build-essential	12.10ubuntu1
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
byobu	6.11-0ubuntu1
bzip2	1.0.8-5.1build0.1
ca-certificates	20240203
cabextract	1.11-2
cheese-common	44.1-1build4
cloud-guest-utils	0.33-1
cloud-init	24.1.3-0ubuntu3
cloud-initramfs-copymods	0.49~24.04.1
cloud-initramfs-dyn-netconf	0.49~24.04.1
colord	1.4.7-1build2
colord-data	1.4.7-1build2
command-not-found	23.04.0
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
containerd.io	2.2.1-1~ubuntu.24.04~noble
coreutils	9.4-3ubuntu6.1
cpio	2.15+dfsg-1ubuntu2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cracklib-runtime	2.9.6-5.1build2
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
cryptsetup	2:2.7.0-1ubuntu4.2
cryptsetup-bin	2:2.7.0-1ubuntu4.2
cryptsetup-initramfs	2:2.7.0-1ubuntu4.2
cups	2.4.7-1.2ubuntu7.9
cups-browsed	2.0.0-0ubuntu10.3
cups-client	2.4.7-1.2ubuntu7.9
cups-common	2.4.7-1.2ubuntu7.9
cups-core-drivers	2.4.7-1.2ubuntu7.9
cups-daemon	2.4.7-1.2ubuntu7.9
cups-filters	2.0.0-0ubuntu4.1
cups-filters-core-drivers	2.0.0-0ubuntu4.1
cups-ipp-utils	2.4.7-1.2ubuntu7.9
cups-pk-helper	0.2.6-1ubuntu8
cups-ppdc	2.4.7-1.2ubuntu7.9
cups-server-common	2.4.7-1.2ubuntu7.9
curl	8.5.0-2ubuntu10.6
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dbus-x11	1.14.10-4ubuntu4.1
dconf-cli	0.40.0-4ubuntu0.1
dconf-gsettings-backend	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
desktop-base	12.0.6+nmu1ubuntu1
desktop-file-utils	0.27-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.2
dictionaries-common	1.29.7
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
distro-info	1.7build1
distro-info-data	0.60ubuntu0.5
dmeventd	2:1.02.185-3ubuntu3.2
dmidecode	3.5-3ubuntu0.1
dmsetup	2:1.02.185-3ubuntu3.2
dns-root-data	2024071801~ubuntu0.24.04.1
dnsmasq-base	2.90-2ubuntu0.1
docbook-xml	4.5-12
docker-buildx-plugin	0.31.1-1~ubuntu.24.04~noble
docker-ce	5:29.2.1-1~ubuntu.24.04~noble
docker-ce-cli	5:29.2.1-1~ubuntu.24.04~noble
docker-ce-rootless-extras	5:29.2.1-1~ubuntu.24.04~noble
docker-compose-plugin	5.0.2-1~ubuntu.24.04~noble
dosfstools	4.2-1.1build1
dpkg	1.22.6ubuntu6.5
dpkg-dev	1.22.6ubuntu6.5
dracut-install	060+5-1ubuntu3.3
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
ed	1.20.1-1
efibootmgr	18-1build2
eject	2.39.3-9ubuntu6.4
elementary-xfce-icon-theme	0.19-1
emacsen-common	3.0.5
enchant-2	2.3.3-2build2
eslint	6.4.0~dfsg+~6.1.9-11build3
ethtool	1:6.7-1build1
evolution-data-server	3.52.3-0ubuntu1.1
evolution-data-server-common	3.52.3-0ubuntu1.1
exo-utils	4.18.0-1build4
fakeroot	1.33-1
fdisk	2.39.3-9ubuntu6.4
file	1:5.45-3build1
finalrd	9build1
findutils	4.9.0-5build1
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-noto-mono	20201225-2
fonts-opensymbol	4:102.12+LibO24.2.7-0ubuntu0.24.04.4
fonts-quicksand	0.2016-2.1
fonts-ubuntu	0.869+git20240321-0ubuntu1
fonts-ubuntu-console	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
fonts-wine	9.0~repack-4build3
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse3	3.14.0-5build1
fuseiso	20070708-3.2build3
fwupd	1.9.33-0ubuntu1~24.04.1ubuntu1
fwupd-signed	1.52+1.4-1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gawk	1:5.2.1-2build3
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04
gcc-13-base	13.3.0-6ubuntu2~24.04
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
gcc-14-base	14.2.0-4ubuntu2~24.04
gcc-14-base	14.2.0-4ubuntu2~24.04
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcr	3.41.2-1build3
gcr4	4.2.0-5
gdisk	1.0.10-1build1
geocode-glib-common	3.26.3-6build3
gettext-base	0.21-14ubuntu2
gh	2.45.0-1ubuntu0.3
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-atk-1.0	2.52.0-1build1
gir1.2-dbusmenu-glib-0.4	18.10.20180917~bzr492+repack1-3.1ubuntu5
gir1.2-freedesktop	1.80.1-1
gir1.2-gdkpixbuf-2.0	2.42.10+dfsg-3ubuntu3.2
gir1.2-girepository-2.0	1.80.1-1
gir1.2-glib-2.0	2.80.0-6ubuntu3.8
gir1.2-gtk-3.0	3.24.41-4ubuntu1.3
gir1.2-handy-1	1.8.3-1build2
gir1.2-harfbuzz-0.0	8.3.0-2build2
gir1.2-ibus-1.0	1.5.29-2
gir1.2-notify-0.7	0.8.3-1build2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.4
gir1.2-pango-1.0	1.52.1+ds-1build1
gir1.2-polkit-1.0	124-2ubuntu1.24.04.2
gir1.2-secret-1	0.21.4-1build3
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gkbd-capplet	3.28.1-1build3
glib-networking	2.80.0-1build1
glib-networking	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
gnome-bluetooth	42~3.34.5-13build3
gnome-bluetooth-3-common	46.0-1ubuntu1
gnome-bluetooth-sendto	46.0-1ubuntu1
gnome-control-center-faces	1:46.7-0ubuntu0.24.04.3
gnome-desktop3-data	44.0-5build2
gnome-keyring	46.1-2build1
gnome-keyring-pkcs11	46.1-2build1
gnome-menus	3.36.0-1.1ubuntu3
gnome-power-manager	43.0-2build2
gnome-screensaver	3.6.1-13ubuntu4
gnome-session-bin	46.0-1ubuntu4
gnome-session-common	46.0-1ubuntu4
gnome-settings-daemon-common	46.0-1ubuntu1.24.04.1
gnome-startup-applications	46.0-1ubuntu4
gnupg	2.4.4-2ubuntu17.4
gnupg-l10n	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpg-wks-client	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
grep	3.11-4build1
greybird-gtk-theme	3.23.3-1
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
grub-efi-amd64-bin	2.12-1ubuntu7.3
grub-efi-amd64-signed	1.202.5+2.12-1ubuntu7.3
grub-gfxpayload-lists	0.7build2
grub-pc	2.12-1ubuntu7.3
grub-pc-bin	2.12-1ubuntu7.3
grub2-common	2.12-1ubuntu7.3
gsettings-desktop-schemas	46.1-0ubuntu1
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3
gstreamer1.0-clutter-3.0	3.0.27-4build1
gstreamer1.0-gl	1.24.2-1ubuntu0.3
gstreamer1.0-plugins-base	1.24.2-1ubuntu0.3
gstreamer1.0-plugins-base	1.24.2-1ubuntu0.3
gstreamer1.0-plugins-good	1.24.2-1ubuntu1.2
gstreamer1.0-plugins-good	1.24.2-1ubuntu1.2
gstreamer1.0-x	1.24.2-1ubuntu0.3
gstreamer1.0-x	1.24.2-1ubuntu0.3
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gtk2-engines-murrine	0.98.2-4
gvfs	1.54.4-0ubuntu1~24.04.1
gvfs-backends	1.54.4-0ubuntu1~24.04.1
gvfs-common	1.54.4-0ubuntu1~24.04.1
gvfs-daemons	1.54.4-0ubuntu1~24.04.1
gvfs-libs	1.54.4-0ubuntu1~24.04.1
gyp	0.1+20220404git9ecf45e-2
gzip	1.12-1ubuntu3.1
handlebars	3:4.7.7+~4.1.0-1
hdparm	9.65+ds-1build1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
htop	3.3.0-4build1
humanity-icon-theme	0.6.16
hunspell-en-us	1:2020.12.07-2
hwdata	0.379-1
i965-va-driver	2.4.1+dfsg1-1ubuntu0.1
i965-va-driver	2.4.1+dfsg1-1ubuntu0.1
ibus	1.5.29-2
ibus-data	1.5.29-2
ibus-gtk	1.5.29-2
ibus-gtk3	1.5.29-2
ibus-gtk4	1.5.29-2
ibverbs-providers	50.0-2ubuntu0.2
ieee-data	20220827.1
im-config	0.57-2
indicator-applet	12.10.2+20.10.20200915-0ubuntu4
indicator-application	12.10.1+19.04.20190308.1-0ubuntu5
indicator-appmenu	15.02.0+20.10.20200617.2-0ubuntu4
indicator-bluetooth	0.0.6+17.10.20170605-0ubuntu5
indicator-common	16.10.0+18.04.20180321.1-0ubuntu8
indicator-datetime	15.10+21.04.20210304-0ubuntu6
indicator-keyboard	0.0.0+19.10.20220803-0ubuntu3.1
indicator-messages	13.10.1+18.10.20180918-0ubuntu7
indicator-power	12.10.6+17.10.20170829.1-0ubuntu9
indicator-printers	0.1.7+17.10.20171101-0ubuntu7
indicator-session	17.3.20+21.10.20210613.1-0ubuntu3
indicator-sound	12.10.2+18.10.20180612-0ubuntu7
inetutils-telnet	2:2.5-3ubuntu4.1
infisical	0.38.0
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.8
initramfs-tools-bin	0.142ubuntu25.8
initramfs-tools-core	0.142ubuntu25.8
install-info	7.1-3build2
intel-media-va-driver	24.1.0+dfsg1-1ubuntu0.1
intel-media-va-driver	24.1.0+dfsg1-1ubuntu0.1
ipp-usb	0.9.24-0ubuntu3.3
iproute2	6.1.0-1ubuntu6.2
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
iputils-tracepath	3:20240117-1ubuntu0.1
iso-codes	4.16.0-1
javascript-common	11+nmu1
jayatana	2.7-0ubuntu8
jq	1.7.1-3ubuntu0.24.04.1
kbd	2.6.4-2ubuntu2
keyboard-configuration	1.226ubuntu1
keyboxd	2.4.4-2ubuntu17.4
klibc-utils	2.0.13-4ubuntu0.2
kmod	31+20240202-2ubuntu7.1
kpartx	0.9.4-5ubuntu8.1
krb5-locales	1.20.1-6ubuntu2.6
landscape-common	24.02-0ubuntu5.7
less	590-2ubuntu2.1
libaa1	1.4p5-51.1
libaa1	1.4p5-51.1
libabsl20220623t64	20220623.1-3.1ubuntu3.2
libabw-0.1-1	0.1.3-1build4
libaccounts-glib0	1.26-1build3
libaccountsservice0	23.13.9-2ubuntu6
libacl1	2.3.2-1build1.1
libadwaita-1-0	1.5.0-1ubuntu2
libaio1t64	0.3.113-6build1.1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-8build3
libalgorithm-merge-perl	0.08-5
libaom3	3.8.2-2ubuntu0.1
libaom3	3.8.2-2ubuntu0.1
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.5
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.5
libappstream5	1.0.2-1build6
libapt-pkg6.0t64	2.8.3
libarchive13t64	3.7.2-2ubuntu0.5
libargon2-1	0~20190702+dfsg-4build1
libasan8	14.2.0-4ubuntu2~24.04
libasound2-data	1.2.11-1ubuntu0.1
libasound2-plugins	1.2.7.1-1ubuntu5
libasound2-plugins	1.2.7.1-1ubuntu5
libasound2t64	1.2.11-1ubuntu0.1
libasound2t64	1.2.11-1ubuntu0.1
libaspell15	0.60.8.1-1build1
libassuan0	2.5.6-1build1
libasyncns0	0.8-6build4
libasyncns0	0.8-6build4
libatasmart4	0.19-5build3
libatk-bridge2.0-0t64	2.52.0-1build1
libatk-bridge2.0-0t64	2.52.0-1build1
libatk1.0-0t64	2.52.0-1build1
libatk1.0-0t64	2.52.0-1build1
libatkmm-1.6-1v5	2.28.4-1build4
libatm1t64	1:2.5.1-5.1build1
libatomic1	14.2.0-4ubuntu2~24.04
libatomic1	14.2.0-4ubuntu2~24.04
libatspi2.0-0t64	2.52.0-1build1
libatspi2.0-0t64	2.52.0-1build1
libattr1	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libavahi-client3	0.8-13ubuntu6.1
libavahi-client3	0.8-13ubuntu6.1
libavahi-common-data	0.8-13ubuntu6.1
libavahi-common-data	0.8-13ubuntu6.1
libavahi-common3	0.8-13ubuntu6.1
libavahi-common3	0.8-13ubuntu6.1
libavahi-core7	0.8-13ubuntu6.1
libavahi-glib1	0.8-13ubuntu6.1
libavc1394-0	0.5.4-5build3
libavc1394-0	0.5.4-5build3
libavcodec60	7:6.1.1-3ubuntu5
libavcodec60	7:6.1.1-3ubuntu5
libavutil58	7:6.1.1-3ubuntu5
libavutil58	7:6.1.1-3ubuntu5
libayatana-appindicator3-1	0.5.93-1build3
libayatana-ido3-0.4-0	0.10.1-1build2
libayatana-indicator3-7	0.9.4-1build1
libbamf3-2t64	0.5.6+22.04.20220217-0ubuntu5
libbinutils	2.42-4ubuntu2.8
libblkid1	2.39.3-9ubuntu6.4
libblkid1	2.39.3-9ubuntu6.4
libblockdev-crypto3	3.1.1-1ubuntu0.1
libblockdev-fs3	3.1.1-1ubuntu0.1
libblockdev-loop3	3.1.1-1ubuntu0.1
libblockdev-mdraid3	3.1.1-1ubuntu0.1
libblockdev-nvme3	3.1.1-1ubuntu0.1
libblockdev-part3	3.1.1-1ubuntu0.1
libblockdev-swap3	3.1.1-1ubuntu0.1
libblockdev-utils3	3.1.1-1ubuntu0.1
libblockdev3	3.1.1-1ubuntu0.1
libbluetooth3	5.72-0ubuntu5.5
libboost-iostreams1.83.0	1.83.0-2.1ubuntu3.2
libboost-locale1.83.0	1.83.0-2.1ubuntu3.2
libboost-thread1.83.0	1.83.0-2.1ubuntu3.2
libbpf1	1:1.3.0-2build2
libbpfcc	0.29.1+ds-1ubuntu7
libbrotli1	1.1.0-2build2
libbrotli1	1.1.0-2build2
libbsd0	0.12.1-1build1.1
libbsd0	0.12.1-1build1.1
libburn4t64	1.5.6-1.1build1
